route_rank,route_rank_pct,route_id,route_short_name,route_long_name,mode,bus_subtype,total_records,cumulative_records,cumulative_pct
207,92.0,7322,132,Capitol Hill/Hastings @ Gilmore,Bus,Regular Bus,4631,9274337,99.64352465254962
208,92.44444444444444,6843,614,English Bluff/South Delta Exchange,Bus,Regular Bus,4515,9278852,99.6920338358806
209,92.88888888888889,6686,247,Grouse Mountain/Downtown,Bus,Regular Bus,3757,9282609,99.73239906329465
210,93.33333333333333,6718,391,116 Street,Bus,Regular Bus,3529,9286138,99.77031465753053
211,93.77777777777779,30042,179,Coquitlam Central Station/Buntzen Lake,Bus,Regular Bus,2562,9288700,99.79784079876951
212,94.22222222222221,6833,N17,West Broadway,Bus,NightBus,2547,9291247,99.82520577993097
213,94.66666666666667,7509,150,Coquitlam Central Station/White Pine Beach,Bus,Regular Bus,2391,9293638,99.85089469628632
214,95.11111111111111,6836,N22,Macdonald,Bus,NightBus,2208,9295846,99.87461745969601
215,95.55555555555556,6831,N15,Cambie,Bus,NightBus,1969,9297815,99.8957724058707
216,96.0,6745,606,Ladner Ring,Bus,Regular Bus,1905,9299720,99.91623973571467
217,96.44444444444444,18213,231,Harbourside/Lonsdale Quay,Bus,Regular Bus,1840,9301560,99.93600870522275
218,96.88888888888889,11202,042,Alma/Spanish Banks,Bus,Regular Bus,1766,9303326,99.95498261834844
219,97.33333333333334,6746,608,Ladner Ring,Bus,Regular Bus,1490,9304816,99.97099118604793
220,97.77777777777777,6754,855,Elgin Park School Special,Bus,Regular Bus,953,9305769,99.98123022297248
221,98.22222222222223,6762,881,Carson Graham School Special,Bus,Regular Bus,594,9306363,99.98761216204196
222,98.66666666666667,29039,864,Lord Tweedsmuir School Special,Bus,Regular Bus,357,9306720,99.99144777188673
223,99.11111111111111,8289,865,Samuel Robertson School Special,Bus,Regular Bus,344,9307064,99.99514370966432
224,99.55555555555556,29040,840,Brookswood School Special,Bus,Regular Bus,263,9307327,99.99796938302336
225,100.0,6761,880,Windsor School Special,Bus,Regular Bus,189,9307516,100.0
