route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,route_segment_km,segment_start_km,segment_end_km,stop_before_id,stop_before_name,stop_before_dist_km,stop_after_id,stop_after_name,stop_after_dist_km,bunching_events,severe_events,high_events,moderate_events,avg_gap_km,median_gap_km,closest_gap_km,vehicles_involved,active_timestamps
37810,R4,41st Avenue,RapidBus,1,313453,17.0,17.0,17.5,1907,Dunbar Loop @ Bay 5,11.76,12653,Northbound Wesbrook Mall @ Agronomy Rd,18.5,24,6,5,13,0.245,0.296,0.03,10,23
37810,R4,41st Avenue,RapidBus,1,313453,9.5,9.5,10.0,12632,Westbound W 41 Ave @ East Blvd,9.46,297,Westbound W 41 Ave @ Carnarvon St,10.86,24,2,11,11,0.239,0.225,0.056,9,23
16718,014,Hastings/UBC Exchange,Regular Bus,1,312346,10.0,10.0,10.5,584,Westbound W 4th Ave @ Fir St,9.71,12815,Westbound W 4th Ave @ Yew St,10.74,24,0,17,7,0.224,0.176,0.172,6,24
6614,004,Powell/UBC Exchange,Regular Bus,0,312231,12.5,12.5,13.0,36,Eastbound W Cordova St @ Homer St,12.38,429,Eastbound E Cordova St @ Main St,13.21,24,9,11,4,0.149,0.149,0.0,3,19
6624,019,Kingsway,Regular Bus,0,312403,2.5,2.5,3.0,410,Eastbound W Pender St @ Thurlow St,2.32,80,Eastbound W Pender St @ Hamilton St,3.24,24,5,10,9,0.215,0.2,0.046,3,24
6624,019,Kingsway,Regular Bus,0,312403,9.5,9.5,10.0,666,Eastbound Kingsway @ Victoria Dr,9.33,668,Eastbound Kingsway @ Slocan St,10.32,24,4,9,11,0.247,0.215,0.0,4,24
6636,049,49th Avenue,Regular Bus,0,312498,17.5,17.5,18.0,2005,Eastbound E 49 Ave @ Vivian St,17.33,9987,Eastbound E 49 Ave @ Kerr St,18.02,24,4,4,16,0.256,0.314,0.059,5,23
6636,049,49th Avenue,Regular Bus,0,312498,15.0,15.0,15.5,1994,Eastbound E 49 Ave @ Windsor St,14.75,1997,Eastbound E 49 Ave @ Dumfries St,15.54,24,2,12,10,0.253,0.203,0.099,6,24
6625,020,Victoria,Regular Bus,1,312428,10.0,10.0,10.5,1254,Southbound Victoria Dr @ E 41 Ave,9.96,1256,Southbound Victoria Dr @ Waverley Ave,10.57,23,8,5,10,0.232,0.189,0.012,2,23
6622,016,29th Avenue Station/Arbutus,Regular Bus,0,312365,7.0,7.0,7.5,12706,Eastbound W 12 Ave @ Pine St,6.87,218,Northbound Granville St @ W 7th Ave,7.73,23,1,12,10,0.233,0.205,0.051,4,23
