route_id,direction_id,shape_id,trip_count
6624,0,312398,4
6624,1,317413,210
6624,1,312413,210
6624,1,317412,154
6624,1,312414,102
6624,1,318502,75
6624,1,312412,42
6624,1,317414,42
6624,1,317419,16
6624,1,312407,16
6624,1,312410,14
6624,1,317416,14
6624,1,312411,10
6624,1,317415,10
6624,1,317420,5
6624,1,312408,4
6624,1,317418,4
6624,1,317417,3
6624,1,312409,3
6625,0,317421,230
6625,0,312419,229
6625,0,317424,30
6625,0,312416,29
6625,0,317423,7
6625,0,312417,7
6625,0,312418,3
6625,0,317422,3
6625,1,317427,221
6625,1,312428,196
6625,1,312427,36
6625,1,317432,28
6625,1,312422,27
6625,1,317426,12
6625,1,317429,11
6625,1,312425,11
6625,1,317430,4
6625,1,312423,4
6625,1,318513,4
6625,1,312421,4
6625,1,312424,4
6625,1,317431,4
6625,1,317428,3
6625,1,312426,3
6625,1,317434,3
6625,1,312420,3
6626,0,312437,199
6626,0,317435,199
6626,0,317443,26
6626,0,312429,26
6626,0,312436,24
6626,0,317436,24
6626,0,317437,6
6626,0,312435,6
6626,0,312434,3
6626,0,317438,3
6626,0,317441,2
6626,0,312431,2
6626,0,317439,1
6626,0,312433,1
6626,0,312430,1
6626,0,317442,1
6626,1,312442,168
6626,1,317445,168
6626,1,312438,59
6626,1,317449,59
6626,1,312441,6
6626,1,317446,6
6626,1,317444,2
6626,1,312443,2
6626,1,312439,2
6626,1,317448,2
6627,0,312450,233
6627,0,317452,233
6627,0,312447,5
6627,0,317455,5
6627,0,312449,3
6627,0,317453,3
6627,0,317456,2
6627,0,312446,2
6627,1,312455,216
6627,1,317457,216
6627,1,312454,8
6627,1,317458,8
6627,1,312453,7
6627,1,317459,7
6627,1,317460,7
6627,1,312452,7
6628,0,312456,140
6628,0,317463,140
6628,0,317462,1
6628,0,312457,1
6628,1,317464,141
6628,1,312458,140
6629,0,312461,133
6629,0,317465,133
6629,0,312460,5
6629,0,317466,5
6629,0,312459,1
6629,0,317467,1
6629,1,312464,137
6629,1,317468,137
6629,1,312463,2
6629,1,317469,2
6629,1,317470,1
6629,1,312462,1
6630,0,318483,157
6630,0,312465,157
6630,0,312466,10
6630,0,318485,6
6630,0,317473,4
6630,0,317471,3
6630,0,312468,3
6630,1,312470,163
6630,1,318484,163
6630,1,312473,2
6630,1,312472,2
6630,1,318487,1
6630,1,317476,1
6630,1,317475,1
6631,0,317480,130
6631,0,312474,130
6631,1,312475,130
6631,1,317481,130
6633,0,312481,219
6633,0,317487,219
6633,0,312480,18
