route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trip_count,shape_points,shape_length_km
34044,560,Murrayville/Langley Centre,0,313193,51,186,10.75
34044,560,Murrayville/Langley Centre,0,318204,51,186,10.75
34044,560,Murrayville/Langley Centre,1,313194,51,177,10.99
34044,560,Murrayville/Langley Centre,1,318205,51,177,10.99
34045,561,Langley Centre/Brookswood,0,313196,51,201,11.41
34045,561,Langley Centre/Brookswood,0,318206,51,201,11.41
34045,561,Langley Centre/Brookswood,0,318207,1,69,3.92
34045,561,Langley Centre/Brookswood,0,313195,1,69,3.92
34045,561,Langley Centre/Brookswood,1,313197,51,178,11.34
34045,561,Langley Centre/Brookswood,1,318208,51,178,11.34
34540,719,Meadowtown/Fraser Way,0,313282,66,113,4.87
34540,719,Meadowtown/Fraser Way,0,318292,66,113,4.87
34540,719,Meadowtown/Fraser Way,1,318293,66,119,4.67
34540,719,Meadowtown/Fraser Way,1,313283,66,119,4.67
34541,722,Meadowtown/Bonson,0,318294,66,138,7.18
34541,722,Meadowtown/Bonson,0,313284,66,138,7.18
34541,722,Meadowtown/Bonson,1,318295,66,133,7.5
34541,722,Meadowtown/Bonson,1,313285,66,133,7.5
34542,406,Railway Ave,0,313098,234,134,9.39
34542,406,Railway Ave,0,318109,234,134,9.39
34542,406,Railway Ave,1,318110,234,156,11.35
34542,406,Railway Ave,1,313100,233,156,11.35
34542,406,Railway Ave,1,313099,2,131,9.29
34542,406,Railway Ave,1,318111,2,131,9.29
34543,408,Garden City,0,318130,70,137,10.43
34543,408,Garden City,0,313118,70,137,10.43
34543,408,Garden City,0,318129,68,96,8.0
34543,408,Garden City,0,313119,67,96,8.0
34543,408,Garden City,0,318128,34,112,9.33
34543,408,Garden City,0,313120,34,112,9.33
34543,408,Garden City,0,313117,2,46,4.24
34543,408,Garden City,0,318131,2,46,4.24
34543,408,Garden City,1,318133,103,115,10.15
34543,408,Garden City,1,313122,103,115,10.15
34543,408,Garden City,1,318134,69,92,8.52
34543,408,Garden City,1,313121,69,92,8.52
34543,408,Garden City,1,313123,2,79,7.71
