service_date,collection_timestamp,route_id,route_short_name,route_long_name,route_type,direction_id,shape_id,vehicle_id,next_vehicle_id,approx_shape_dist_traveled,next_shape_dist,distance_to_next_bus_km,bunching_severity,peak_period,route_segment_km
2026-05-23 00:00:00,2026-05-23 16:27:46.140988-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.9406,4.9884,0.0478,Severe,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:28:16.946294-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2116,4.9406,5.1279,0.1873,High,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:28:47.736015-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2116,4.9406,5.2815,0.3409,Moderate,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:29:18.298855-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.9406,5.3251,0.3845,Moderate,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:29:48.893782-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2121,4.9406,4.9884,0.0478,Severe,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:29:48.893782-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,4.9884,5.3492,0.3608,Moderate,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:30:19.552318-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2121,4.9406,5.1277,0.1871,High,PM Peak,4.5
2026-05-23 00:00:00,2026-05-23 16:30:19.552318-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,5.1277,5.3492,0.2215,High,PM Peak,5.0
2026-05-23 00:00:00,2026-05-23 16:30:50.272885-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2226,2121,5.1277,5.2815,0.1538,High,PM Peak,5.0
2026-05-23 00:00:00,2026-05-23 16:30:50.272885-07,6614,004,Powell/UBC Exchange,Regular Bus,1,312245,2121,2116,5.2815,5.5893,0.3078,Moderate,PM Peak,5.0
