shape_id,shape_points,first_sequence,last_sequence,min_shape_distance,max_shape_distance,shape_length_km
317859,306,1,306,0.0,17.5217,17.52
313211,295,1,295,0.0,17.5212,17.52
312860,306,1,306,0.0,17.5217,17.52
313325,175,1,175,0.0,17.4669,17.47
318334,175,1,175,0.0,17.4669,17.47
317562,366,1,366,0.0,17.448,17.45
312564,366,1,366,0.0,17.448,17.45
317537,356,1,356,0.0,17.4326,17.43
312535,356,1,356,0.0,17.4326,17.43
318234,177,1,177,0.0,17.3737,17.37
313226,177,1,177,0.0,17.3737,17.37
313451,216,1,216,0.0,17.3117,17.31
318463,216,1,216,0.0,17.3117,17.31
318462,195,1,195,0.0,17.2966,17.3
313450,195,1,195,0.0,17.2966,17.3
312446,310,1,310,0.0,17.2583,17.26
317456,310,1,310,0.0,17.2583,17.26
312452,273,1,273,0.0,17.2636,17.26
317460,273,1,273,0.0,17.2636,17.26
313454,244,1,244,0.0,17.1931,17.19
313456,244,1,244,0.0,17.1931,17.19
318469,244,1,244,0.0,17.1931,17.19
318471,244,1,244,0.0,17.1931,17.19
312560,332,1,332,0.0,17.0583,17.06
317559,332,1,332,0.0,17.0583,17.06
312523,215,1,215,0.0,16.9675,16.97
318007,283,1,283,0.0,16.9727,16.97
317524,215,1,215,0.0,16.9675,16.97
313000,283,1,283,0.0,16.9727,16.97
312525,215,1,215,0.0,16.9675,16.97
317526,215,1,215,0.0,16.9675,16.97
317529,227,1,227,0.0,16.9548,16.95
312529,227,1,227,0.0,16.9548,16.95
312760,360,1,360,0.0,16.9212,16.92
317758,360,1,360,0.0,16.9212,16.92
312538,361,1,361,0.0,16.8809,16.88
317534,361,1,361,0.0,16.8809,16.88
312449,272,1,272,0.0,16.8444,16.84
317453,272,1,272,0.0,16.8444,16.84
312829,320,1,320,0.0,16.7344,16.73
317828,320,1,320,0.0,16.7344,16.73
313263,287,1,287,0.0,16.7022,16.7
318269,287,1,287,0.0,16.7022,16.7
318271,287,1,287,0.0,16.7022,16.7
313265,287,1,287,0.0,16.7022,16.7
313425,286,1,286,0.0,16.6933,16.69
318440,286,1,286,0.0,16.6933,16.69
318278,281,1,281,0.0,16.6282,16.63
313270,281,1,281,0.0,16.6282,16.63
312536,349,1,349,0.0,16.5428,16.54
317536,349,1,349,0.0,16.5428,16.54
317829,318,1,318,0.0,16.4614,16.46
312828,318,1,318,0.0,16.4614,16.46
317846,346,1,346,0.0,16.4098,16.41
312850,346,1,346,0.0,16.4098,16.41
313213,260,1,260,0.0,16.276,16.28
318225,260,1,260,0.0,16.276,16.28
313422,307,1,307,0.0,16.2271,16.23
318434,307,1,307,0.0,16.2271,16.23
317827,301,1,301,0.0,16.1857,16.19
312827,301,1,301,0.0,16.1857,16.19
312333,236,1,236,0.0,16.1822,16.18
318538,237,1,237,0.0,16.1352,16.14
312664,337,1,337,0.0,16.1327,16.13
317664,337,1,337,0.0,16.1327,16.13
313391,345,1,345,0.0,16.0909,16.09
318410,345,1,345,0.0,16.0909,16.09
313383,345,1,345,0.0,16.0909,16.09
318382,345,1,345,0.0,16.0909,16.09
313001,241,1,241,0.0,16.0415,16.04
318008,241,1,241,0.0,16.0415,16.04
312878,287,1,287,0.0,16.0225,16.02
317876,287,1,287,0.0,16.0225,16.02
318191,179,1,179,0.0,15.9743,15.97
313179,179,1,179,0.0,15.9743,15.97
317762,311,1,311,0.0,15.9215,15.92
312763,311,1,311,0.0,15.9215,15.92
318433,292,1,292,0.0,15.907,15.91
313421,292,1,292,0.0,15.907,15.91
313170,151,1,151,0.0,15.8587,15.86
318182,151,1,151,0.0,15.8587,15.86
318229,186,1,186,0.0,15.7998,15.8
313218,186,1,186,0.0,15.7998,15.8
318508,206,1,206,0.0,15.7829,15.78
317891,346,1,346,0.0,15.5936,15.59
312892,346,1,346,0.0,15.5936,15.59
317573,260,1,260,0.0,15.5829,15.58
312573,260,1,260,0.0,15.5829,15.58
312572,261,1,261,0.0,15.5692,15.57
317574,261,1,261,0.0,15.5692,15.57
317874,259,1,259,0.0,15.5011,15.5
