vehicle_id,total_records,zero_speed_records,mean_speed,zero_speed_share
18150,94,94,0.0,1.0
18152,188,188,0.0,1.0
18153,23,23,0.0,1.0
18157,81,81,0.0,1.0
18158,161,161,0.0,1.0
18162,158,158,0.0,1.0
18163,245,245,0.0,1.0
18170,82,82,0.0,1.0
18175,77,77,0.0,1.0
18178,244,244,0.0,1.0
18180,227,227,0.0,1.0
18182,94,94,0.0,1.0
18185,201,201,0.0,1.0
18186,94,94,0.0,1.0
18188,228,228,0.0,1.0
18189,94,94,0.0,1.0
18190,94,94,0.0,1.0
18191,150,150,0.0,1.0
18193,94,94,0.0,1.0
18199,94,94,0.0,1.0
18200,92,92,0.0,1.0
18201,94,94,0.0,1.0
18204,245,245,0.0,1.0
18205,237,237,0.0,1.0
18302,245,245,0.0,1.0
18303,245,245,0.0,1.0
18306,245,245,0.0,1.0
18307,94,94,0.0,1.0
18308,94,94,0.0,1.0
18310,2,2,0.0,1.0
18318,94,94,0.0,1.0
18319,183,183,0.0,1.0
18320,224,224,0.0,1.0
18324,94,94,0.0,1.0
18325,233,233,0.0,1.0
18327,234,234,0.0,1.0
18330,246,246,0.0,1.0
18331,94,94,0.0,1.0
18332,94,94,0.0,1.0
18337,94,94,0.0,1.0
18340,178,178,0.0,1.0
18341,94,94,0.0,1.0
18345,114,114,0.0,1.0
18347,244,244,0.0,1.0
18348,230,230,0.0,1.0
18350,244,244,0.0,1.0
18352,94,94,0.0,1.0
18353,126,126,0.0,1.0
18357,245,245,0.0,1.0
18358,94,94,0.0,1.0
18360,244,244,0.0,1.0
18365,198,198,0.0,1.0
18367,131,131,0.0,1.0
18373,90,90,0.0,1.0
18381,94,94,0.0,1.0
18382,94,94,0.0,1.0
18383,94,94,0.0,1.0
18384,84,84,0.0,1.0
18386,234,234,0.0,1.0
18393,225,225,0.0,1.0
18395,244,244,0.0,1.0
18398,245,245,0.0,1.0
18400,94,94,0.0,1.0
18403,94,94,0.0,1.0
18404,94,94,0.0,1.0
19003,94,94,0.0,1.0
